topic,app,applicationCategory,latency,systemBandwidth,commChannelLossAN,commChannelLossRT,commChannelLossTS,commChannelLossVS,brokerCapacity,priority,priorityID,processingRate,publishFrequency,messageSize,scenario_case
amazonecho,app10,AN,5.406389733516503,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,100
amazonecho,app14,TS,5.252253100568366,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,100
amazonecho,app19,TS,5.247046633492164,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,100
amazonecho,app21,RT,5.344093576368583,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,100
amazonecho,app27,RT,5.378431471417962,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,100
amazonecho,app30,RT,5.350259519440475,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,100
amazonecho,app32,RT,5.279493225439071,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,100
amazonecho,app5,AN,4.9913696306347415,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,100
amazonecho,app7,AN,5.30862791864622,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,100
amazonecho,app8,AN,5.273822371484549,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,105869.28,100
bms,app10,AN,5.013481930760785,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,100
bms,app12,TS,5.064938109972728,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,100
bms,app17,TS,5.06708786619183,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,100
bms,app19,TS,5.054140418640781,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,100
bms,app1,AN,5.045777445867902,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,100
bms,app27,RT,5.058028783434912,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,100
bms,app2,AN,5.007217844887951,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,100
bms,app30,RT,5.047407879968474,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,100
bms,app8,AN,5.018028154855348,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,100
bms,app9,AN,5.038956888779766,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,16091324.56,100
energymanagement,app10,AN,5.0109392821151415,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app12,TS,5.029894506307931,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app1,AN,4.982952656658924,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app24,RT,5.037994432642531,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app2,AN,4.98618569590391,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app30,RT,5.032427519007925,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app32,RT,4.996731798098284,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app33,RT,5.003306740447752,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app3,AN,4.989459429004389,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app4,AN,4.983700276337721,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app5,AN,5.003265545296403,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app6,AN,5.004878451691831,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app7,AN,4.987167247240241,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app8,AN,5.045632943473892,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
energymanagement,app9,AN,4.997101150710058,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,3324693.6,100
firedetection,app10,AN,5.20667770920058,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,100
firedetection,app1,AN,5.279830174913598,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,100
firedetection,app22,RT,5.256887917752933,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,100
firedetection,app23,RT,5.251708401706795,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,100
firedetection,app25,RT,5.189558451388447,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,100
firedetection,app29,RT,5.266601915901952,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,100
firedetection,app30,RT,5.176317131128708,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,100
firedetection,app31,RT,5.242024346605683,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,100
firedetection,app33,RT,5.202787918210742,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,100
firedetection,app7,AN,5.2238999806083255,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,191693.0,100
intrusiondetection,app21,RT,5.039394204971198,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,100
intrusiondetection,app24,RT,5.005504485669694,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,100
intrusiondetection,app2,AN,5.038035792805356,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,100
intrusiondetection,app36,VS,5.01417187544663,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,100
intrusiondetection,app40,VS,5.043156744560167,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,100
intrusiondetection,app41,VS,5.004982250562806,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,100
intrusiondetection,app45,VS,5.024815502535052,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,100
intrusiondetection,app47,VS,5.027861344469947,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,100
intrusiondetection,app6,AN,5.063738298238704,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,47583046.2,100
occupancymanagement,app12,TS,5.265663515736152,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app17,TS,5.204618471956053,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app19,TS,5.239086141022809,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app21,RT,5.2495395822206055,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app34,RT,5.216146053559696,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app42,VS,5.173190175215871,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app43,VS,5.19653069366363,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app44,VS,5.28276569244472,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app48,VS,5.360776876740818,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app50,VS,5.10018678261923,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app5,AN,5.07756695210672,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
occupancymanagement,app8,AN,5.229593725701146,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,280313.84,100
printing,app11,TS,4.992458664264715,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app12,TS,4.987635818144164,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app13,TS,4.991236011429401,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app14,TS,5.007071853930918,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app15,TS,5.023706980188123,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app16,TS,5.014100217527933,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app17,TS,5.019719031874683,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app18,TS,5.016159773998652,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app20,TS,5.00772408250353,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app2,AN,4.903866655649254,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app4,AN,5.066406652438428,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
printing,app5,AN,5.114896148832807,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,624394.2,100
smartthings,app11,TS,5.372037973205362,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,100
smartthings,app14,TS,5.375571279478121,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,100
smartthings,app1,AN,5.381690402352198,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,100
smartthings,app21,RT,5.434968774744807,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,100
smartthings,app28,RT,5.349834251713244,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,100
smartthings,app34,RT,5.403117855840391,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,100
smartthings,app35,RT,5.390097397199432,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,100
smartthings,app3,AN,5.10784132430919,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,100
smartthings,app8,AN,5.2373034194420525,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,100
smartthings,app9,AN,5.480459540035021,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,205264.41,100
videosurveillance,app10,AN,5.06099771367928,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app26,RT,5.034301743833932,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app35,RT,5.032240182175765,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app36,VS,5.079158230688972,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app37,VS,5.059675046680349,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app38,VS,5.073187683725543,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app39,VS,5.067373133525493,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app46,VS,5.057317964894459,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app49,VS,5.023748160249406,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app4,AN,5.048208725140656,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app50,VS,5.011188568044285,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
videosurveillance,app7,AN,5.050335885654028,650,0.15,0.0,0,0.15,100,0,dropVS15AN15,1000,1,14310092.37,100
amazonecho,app10,AN,5.795333927705315,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,100
amazonecho,app14,TS,5.722808995966822,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,100
amazonecho,app19,TS,5.896919880029541,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,100
amazonecho,app21,RT,5.749461559413797,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,100
amazonecho,app27,RT,5.884849959943319,650,0.0,0.0,0,0.1,100,0,dropVS10,1000,1,105869.28,100
